ASD,SCZ
CHD8,SETD1A
SCN2A,CUL1
SYNGAP1,XPO7
ADNP,TRIO
FOXP1,CACNA1G
POGZ,SP4
ARID1B,GRIA3
SUV420H1,GRIN2A
DYRK1A,HERC1
SLC6A1,RB1CC1
GRIN2B,HCN4
PTEN,AKAP11
SHANK3,ZNF136
MED13L,SRRM2
GIGYF1,NR3C2
CHD2,ZMYM2
ANKRD11,FAM120A
ANK2,FAM178A
ASH1L,KDM6B
TLK2,DNM3
DNMT3A,ASH1L
DEAF1,STAG1
CTNNB1,HIST1H1E
KDM6B,PREP
DSCAM,MAGEC1
SETD5,MAGI2
KCNQ3,DAGLA
SRPR,OR4P4
KDM5B,SLC22A11
WAC,ANKRD12
SHANK2,SV2A
NRXN1,EIF2S3
TBL1XR1,
MYT1L,
BCL11A,
RORB,
RAI1,
DYNC1H1,
DPYSL2,
AP2S1,
KMT2C,
PAX5,
MKX,
GABRB3,
SIN3A,
MBD5,
MAP1A,
STXBP1,
CELF4,
PHF12,
TBR1,
PPP2R5D,
TM9SF4,
PHF21A,
PRR12,
SKI,
ASXL3,
SPAST,
SMARCC2,
TRIP12,
CREBBP,
TCF4,
CACNA1E,
GNAI1,
TCF20,
FOXP2,
NSD1,
TCF7L2,
LDB1,
EIF3G,
PHF2,
KIAA0232,
VEZF1,
GFAP,
IRF2BPL,
ZMYND8,
SATB1,
RFX3,
SCN1A,
PPP5C,
TRIM23,
TRAF7,
ELAVL3,
GRIA2,
LRRC4C,
CACNA2D3,
NUP155,
KMT2E,
NR3C2,
NACC1,
PTK7,
PPP1R9B,
GABRB2,
HDLBP,
TAOK1,
UBR1,
TEK,
KCNMA1,
CORO1A,
HECTD4,
NCOA1,
DIP2A,