Class,Gene
L1-3,C1QL2
L1-3,C20orf103
L1-3,CARTPT
L1-3,DISC1
L1-3,GLRA3
L1-3,GSG1L
L1-3,IGSF11
L1-3,INPP4B
L1-3,MFGE8
L1-3,PVRL3
L1-3,RASGRF2
L1-3,SV2C
L1-3,WFS1
L4,CACNG5
L4,CHRNA3
L4,KCNIP1
L4,PDYN
L4,RORB
L4,TMEM215
L5-6,ADRA2A
L5-6,AKR1C2
L5-6,AKR1C3
L5-6,ANXA1
L5-6,B3GALT2
L5-6,CDH24
L5-6,CTGF
L5-6,ETV1
L5-6,FAM3C
L5-6,FOXP2
L5-6,GABRA5
L5-6,HTR2C
L5-6,KCNK2
L5-6,NPY2R
L5-6,NR4A2
L5-6,NTNG2
L5-6,OPRK1
L5-6,PCDH17
L5-6,PCDH20
L5-6,PCP4
L5-6,PDE1A
L5-6,RPRM
L5-6,RXFP1
L5-6,SNTB1
L5-6,SYT10
L5-6,SYT6
L5-6,TLE4
L5-6,TOX
L5-6,TRIB2
L5-6,VAT1L