,label,gene,study
1,ASD,AAGAB,2
4,ASD,AASDHPPT,2
5,ASD,AATK,2
7,ASD,ABCA1,3
8,ASD,ABCA10,3
15,ASD,ABCB9,2
16,ASD,ABCC12,2
18,ASD,ABCC8,2
22,ASD,ABCG2,3
23,ASD,ABCG4,3
25,ASD,ABHD12,3
31,ASD,ABHD2,2
32,ASD,ABHD3,3
33,ASD,ABHD4,2
36,ASD,ABLIM2,2
39,ASD,ABTB1,2
50,ASD,AC005592.1,2
58,ASD,AC011322.1,2
85,ASD,AC140542.2,2
89,ASD,ACAA2,3
95,ASD,ACKR3,2
96,ASD,ACLY,2
97,ASD,ACO1,2
101,ASD,ACOX2,2
106,ASD,ACSF2,2
109,ASD,ACSS3,2
113,ASD,ACTR1A,2
114,ASD,ACTR1B,3
115,ASD,ACTR3C,2
117,ASD,ACY3,2
121,ASD,ADAM22,3
122,ASD,ADAM23,3
126,ASD,ADAMTSL1,2
131,ASD,ADCK1,2
133,ASD,ADCY1,2
134,ASD,ADCYAP1R1,2
138,ASD,ADH5,2
140,ASD,ADIRF-AS1,2
142,ASD,ADO,2
143,ASD,ADORA1,3
147,ASD,ADRA1D,2
149,ASD,ADSS,2
151,ASD,AEN,2
153,ASD,AFF1,3
154,ASD,AFF4,3
155,ASD,AFG3L2,3
157,ASD,AGK,2
163,ASD,AGTRAP,2
167,ASD,AHNAK,2
169,ASD,AIDA,2
174,ASD,AK3,3
175,ASD,AK4,3
178,ASD,AKAP13,3
179,ASD,AKAP6,3
181,ASD,AKR1C3,3
188,ASD,ALDH18A1,2
194,ASD,ALDH4A1,2
198,ASD,ALDH9A1,2
199,ASD,ALG13,2
204,ASD,ALPK1,2
208,ASD,AMOT,2
210,ASD,ANAPC1,3
211,ASD,ANAPC15,2
214,ASD,ANAPC5,3
215,ASD,ANAPC7,3
221,ASD,ANK3,3
243,ASD,ANKS6,2
245,ASD,ANO6,3
246,ASD,ANTXR2,2
248,ASD,ANXA2,2
250,ASD,ANXA6,3
255,ASD,AP1AR,2
264,ASD,APBB1,3
273,ASD,APOBEC3F,2
274,ASD,APOC1,3
276,ASD,APOE,3
278,ASD,APOL6,2
280,ASD,APPBP2,2
288,ASD,ARF5,2
292,ASD,ARFGEF2,3
293,ASD,ARHGAP18,3
298,ASD,ARHGAP42,3
299,ASD,ARHGAP44,3
300,ASD,ARHGAP5,3
301,ASD,ARHGAP5-AS1,3
302,ASD,ARHGAP6,3
306,ASD,ARHGEF2,2
307,ASD,ARHGEF26,3
311,ASD,ARHGEF40,2
315,ASD,ARHGEF9,2
316,ASD,ARID3A,2
317,ASD,ARID5A,2
320,ASD,ARIH2,3
323,ASD,ARL6,3
326,ASD,ARMC1,2
332,ASD,ARMCX5,2
333,ASD,ARMCX6,2
338,ASD,ARRDC3,3
342,ASD,ASAH2B,2
344,ASD,ASAP3,3
345,ASD,ASB13,3
346,ASD,ASB8,3
350,ASD,ASH2L,3
362,ASD,ATG14,2
363,ASD,ATG16L1,3
365,ASD,ATG2B,3
366,ASD,ATG4D,3
369,ASD,ATL1,3
371,ASD,ATOH8,2
373,ASD,ATP10D,2
375,ASD,ATP1A1,3
377,ASD,ATP1B1,3
380,ASD,ATP2B1,3
381,ASD,ATP2B2,3
383,ASD,ATP5A1,3
384,ASD,ATP5B,3
386,ASD,ATP5D,2
387,ASD,ATP5G1,2
392,ASD,ATP6AP2,2
395,ASD,ATP6V0E1,3
397,ASD,ATP6V1A,2
399,ASD,ATP6V1C1,2
400,ASD,ATP6V1E1,3
404,ASD,ATR,3
405,ASD,ATRN,3
406,ASD,ATRNL1,2
411,ASD,AUH,2
424,ASD,BACE2,2
428,ASD,BAG3,3
436,ASD,BAZ1A,2
439,ASD,BBS7,3
442,ASD,BCAR3,2
443,ASD,BCAS3,2
444,ASD,BCCIP,3
447,ASD,BCL11A,2
452,ASD,BCL2L2,2
454,ASD,BCL6,2
458,ASD,BECN1,3
463,ASD,BEX5,2
464,ASD,BIRC3,3
467,ASD,BLVRB,2
468,ASD,BMP2K,3
470,ASD,BMPR1A,2
472,ASD,BMPR1B,2
474,ASD,BNIP2,2
475,ASD,BNIP3L,2
477,ASD,BRAF,2
481,ASD,BRSK1,2
485,ASD,BST2,2
490,ASD,BTF3L4,3
491,ASD,BTG1,3
493,ASD,BTG3,2
497,ASD,BTN3A1,2
499,ASD,BTN3A3,2
509,ASD,C12orf10,3
512,ASD,C12orf68,3
520,ASD,C16orf45,3
524,ASD,C16orf89,2
525,ASD,C17orf67,2
526,ASD,C17orf75,2
537,ASD,C1QL1,2
539,ASD,C1R,3
540,ASD,C1S,2
545,ASD,C1orf233,2
547,ASD,C1orf86,2
550,ASD,C20orf166-AS1,2
554,ASD,C2CD2L,2
556,ASD,C2CD5,3
565,ASD,C3orf18,2
568,ASD,C3orf80,2
570,ASD,C4A,2
572,ASD,C4B,2
574,ASD,C4orf27,3
576,ASD,C5AR1,3
579,ASD,C6orf118,3
580,ASD,C6orf136,2
590,ASD,CA12,3
591,ASD,CA13,2
595,ASD,CABP1,3
597,ASD,CACHD1,3
598,ASD,CACNA2D2,2
599,ASD,CACNA2D3,2
600,ASD,CACNB1,2
601,ASD,CACNB4,2
602,ASD,CACNG2,2
605,ASD,CADM1,2
607,ASD,CADPS,3
608,ASD,CADPS2,2
611,ASD,CALM2,3
616,ASD,CAMK2G,3
617,ASD,CAMK4,3
618,ASD,CAMKK2,2
620,ASD,CAMTA1,3
622,ASD,CAND1,2
623,ASD,CAND2,2
631,ASD,CAPS2,2
636,ASD,CARNS1,2
637,ASD,CARS2,2
638,ASD,CASC10,2
641,ASD,CASD1,2
644,ASD,CASP4,2
645,ASD,CASP7,2
648,ASD,CBFB,3
656,ASD,CCDC104,2
657,ASD,CCDC11,2
665,ASD,CCDC136,2
668,ASD,CCDC18,3
669,ASD,CCDC25,3
676,ASD,CCDC8,2
685,ASD,CCNG1,3
694,ASD,CD14,2
697,ASD,CD180,2
699,ASD,CD300A,2
703,ASD,CD34,2
705,ASD,CD4,2
706,ASD,CD40,2
707,ASD,CD44,2
708,ASD,CD46,2
711,ASD,CD58,3
712,ASD,CD59,3
713,ASD,CD63,3
716,ASD,CD81,2
717,ASD,CD83,2
719,ASD,CD99,3
720,ASD,CD99L2,3
721,ASD,CD99P1,2
723,ASD,CDC40,2
724,ASD,CDC42EP4,2
728,ASD,CDCP1,2
731,ASD,CDK12,2
732,ASD,CDK14,3
742,ASD,CDKN1A,3
746,ASD,CDKN2C,2
752,ASD,CEBPB,2
756,ASD,CECR6,2
757,ASD,CELSR2,3
767,ASD,CERCAM,3
775,ASD,CFLAR,2
778,ASD,CHAF1A,2
784,ASD,CHGA,3
787,ASD,CHI3L2,2
788,ASD,CHIC1,3
792,ASD,CHML,2
793,ASD,CHMP3,2
796,ASD,CHN1,2
797,ASD,CHORDC1,2
799,ASD,CHPT1,3
803,ASD,CHRNB3,2
804,ASD,CHST11,3
808,ASD,CHSY1,2
814,ASD,CIDEA,3
822,ASD,CKAP5,2
825,ASD,CLASP2,3
826,ASD,CLCN3,3
827,ASD,CLCN4,3
829,ASD,CLDN10,2
833,ASD,CLEC2L,3
834,ASD,CLIC1,2
841,ASD,CLSTN3,2
843,ASD,CLU,3
846,ASD,CMAS,2
847,ASD,CMC2,2
850,ASD,CMTM6,2
854,ASD,CNN3,3
857,ASD,CNOT6,3
860,ASD,CNTNAP1,2
865,ASD,COG5,2
868,ASD,COL19A1,2
871,ASD,COL25A1,3
879,ASD,COL9A3,2
880,ASD,COLGALT1,3
882,ASD,COPG1,2
883,ASD,COPS3,2
884,ASD,COPS7A,3
889,ASD,CORO2A,3
890,ASD,CORO2B,2
898,ASD,COX7A1,3
904,ASD,CPLX1,3
905,ASD,CPLX2,2
906,ASD,CPNE3,3
917,ASD,CRH,2
921,ASD,CRTAC1,3
924,ASD,CSF1,2
925,ASD,CSF2RB,2
928,ASD,CSRNP3,2
931,ASD,CSTB,3
933,ASD,CTB-113P19.4,2
935,ASD,CTB-31O20.2,2
938,ASD,CTBP2,2
940,ASD,CTC-228N24.3,2
957,ASD,CTPS1,2
958,ASD,CTSC,3
962,ASD,CTSZ,2
963,ASD,CTTNBP2,2
964,ASD,CTXN3,2
967,ASD,CUTA,2
970,ASD,CXCL16,2
971,ASD,CXCL5,2
983,ASD,CYP11A1,2
993,ASD,CYP4F11,2
999,ASD,DACT2,2
1002,ASD,DAGLA,2
1008,ASD,DCAF8,3
1011,ASD,DCLK1,2
1013,ASD,DCTN1,2
1014,ASD,DCTN1-AS1,2
1015,ASD,DCTN2,3
1018,ASD,DCUN1D2,3
1019,ASD,DCUN1D4,2
1021,ASD,DDAH2,3
1025,ASD,DDHD2,3
1028,ASD,DDIT4L,2
1029,ASD,DDR2,2
1030,ASD,DDX1,3
1032,ASD,DDX25,2
1036,ASD,DDX58,2
1038,ASD,DDX60L,2
1042,ASD,DEPDC5,3
1044,ASD,DERL1,2
1050,ASD,DGCR9,2
1052,ASD,DGKI,3
1054,ASD,DHCR24,2
1056,ASD,DHRS3,3
1061,ASD,DHX34,3
1062,ASD,DHX36,2
1063,ASD,DHX57,2
1066,ASD,DIRAS1,3
1067,ASD,DIRAS2,3
1069,ASD,DLAT,3
1074,ASD,DLGAP1,3
1083,ASD,DNAJA4,2
1084,ASD,DNAJB1,2
1090,ASD,DNAJC18,3
1094,ASD,DNAJC3,2
1095,ASD,DNAJC3-AS1,2
1097,ASD,DNAJC6,2
1098,ASD,DNALI1,3
1102,ASD,DNM1L,3
1103,ASD,DNM3,2
1104,ASD,DNMBP,2
1105,ASD,DNPEP,2
1106,ASD,DOCK3,2
1108,ASD,DOCK7,2
1112,ASD,DOPEY2,3
1115,ASD,DPP10,2
1117,ASD,DPP8,2
1121,ASD,DPY19L3,2
1122,ASD,DPYSL3,3
1126,ASD,DSC2,3
1127,ASD,DSE,3
1128,ASD,DTD1,2
1132,ASD,DTX3L,2
1139,ASD,DYNC1I1,2
1140,ASD,DYNC1LI1,2
1144,ASD,DYRK3,3
1145,ASD,DZIP1L,3
1146,ASD,E2F1,2
1148,ASD,EBNA1BP2,2
1151,ASD,EDA,2
1154,ASD,EDN3,3
1169,ASD,EFNB1,2
1174,ASD,EHBP1L1,2
1176,ASD,EHD4,3
1179,ASD,EID2,2
1186,ASD,EIF3F,2
1190,ASD,EIF3K,3
1192,ASD,EIF4E,2
1195,ASD,EIF4EBP1,3
1199,ASD,EIF5A2,3
1204,ASD,ELK1,2
1216,ASD,EMILIN1,3
1217,ASD,EMILIN3,3
1221,ASD,EMP1,3
1222,ASD,EMP3,3
1226,ASD,ENAH,3
1231,ASD,ENO2,3
1233,ASD,ENOPH1,2
1240,ASD,ENY2,3
1242,ASD,EPB41L3,2
1247,ASD,EPHB6,2
1248,ASD,EPHX1,2
1251,ASD,EPS15,3
1252,ASD,EPS8,3
1256,ASD,ERBB2,2
1261,ASD,ERLEC1,2
1262,ASD,ERLIN1,2
1263,ASD,ERLIN2,2
1269,ASD,EVC2,3
1273,ASD,EXTL1,2
1274,ASD,EXTL2,3
1276,ASD,EYA2,3
1279,ASD,EZR,3
1281,ASD,F2R,2
1284,ASD,FAAH,2
1286,ASD,FABP5,2
1289,ASD,FAH,3
1291,ASD,FAHD2CP,2
1292,ASD,FAM101B,2
1295,ASD,FAM107A,3
1304,ASD,FAM126A,2
1307,ASD,FAM129A,2
1309,ASD,FAM131A,2
1310,ASD,FAM131B,3
1313,ASD,FAM134A,2
1315,ASD,FAM157A,2
1318,ASD,FAM161A,2
1323,ASD,FAM174A,2
1325,ASD,FAM181A-AS1,2
1331,ASD,FAM192A,3
1335,ASD,FAM212B,2
1336,ASD,FAM216A,2
1337,ASD,FAM217B,2
1338,ASD,FAM219A,2
1341,ASD,FAM221A,2
1344,ASD,FAM228A,2
1349,ASD,FAM43B,2
1350,ASD,FAM46A,2
1352,ASD,FAM46C,2
1354,ASD,FAM49B,3
1358,ASD,FAM66C,2
1360,ASD,FAM69A,2
1362,ASD,FAM73A,3
1365,ASD,FAM78B,2
1366,ASD,FAM81A,3
1375,ASD,FANCM,2
1378,ASD,FARSA,3
1379,ASD,FARSB,3
1380,ASD,FAS,2
1384,ASD,FBLN7,3
1392,ASD,FBXO25,3
1394,ASD,FBXO30,2
1399,ASD,FBXO8,3
1400,ASD,FBXO9,3
1403,ASD,FBXW7,3
1410,ASD,FCGR2A,2
1414,ASD,FCHO1,2
1415,ASD,FDPS,2
1420,ASD,FERMT2,3
1421,ASD,FERMT3,3
1425,ASD,FGD4,3
1426,ASD,FGD6,2
1427,ASD,FGF11,2
1428,ASD,FGF12,3
1430,ASD,FGF14,3
1431,ASD,FGF2,3
1433,ASD,FGFR1,2
1434,ASD,FGFRL1,2
1436,ASD,FGL1,2
1437,ASD,FH,2
1439,ASD,FHOD1,3
1440,ASD,FIBP,3
1441,ASD,FIS1,3
1442,ASD,FKBP10,3
1444,ASD,FKBP14,3
1448,ASD,FLNA,3
1455,ASD,FNDC3A,3
1456,ASD,FNDC3B,3
1458,ASD,FNDC5,2
1460,ASD,FOXJ1,3
1463,ASD,FPR1,2
1467,ASD,FRG1,3
1477,ASD,FSD1,2
1480,ASD,FSTL4,2
1481,ASD,FTH1,2
1482,ASD,FTL,3
1483,ASD,FTLP3,2
1484,ASD,FTSJ1,3
1494,ASD,FYCO1,2
1496,ASD,FZD1,3
1502,ASD,GABARAPL1,2
1506,ASD,GABRA1,3
1509,ASD,GABRB2,3
1511,ASD,GABRD,2
1512,ASD,GABRE,3
1517,ASD,GAD2,2
1519,ASD,GADD45G,3
1520,ASD,GALM,3
1521,ASD,GALNT10,2
1524,ASD,GALNT6,2
1526,ASD,GARNL3,3
1528,ASD,GAS7,2
1530,ASD,GATS,2
1535,ASD,GBP1,2
1545,ASD,GDPD1,3
1547,ASD,GEM,3
1551,ASD,GFPT2,2
1562,ASD,GJA1,2
1565,ASD,GLCE,2
1568,ASD,GLIS3,3
1569,ASD,GLMN,3
1570,ASD,GLRB,2
1572,ASD,GLS2,3
1574,ASD,GLUD1,2
1581,ASD,GMPS,2
1582,ASD,GNA12,3
1583,ASD,GNA13,3
1586,ASD,GNAI3,3
1588,ASD,GNB1,2
1590,ASD,GNB5,2
1591,ASD,GNG12,3
1592,ASD,GNG3,2
1594,ASD,GNG5,2
1597,ASD,GNRHR2,2
1602,ASD,GOLM1,2
1604,ASD,GOT1,3
1609,ASD,GPCPD1,3
1614,ASD,GPIHBP1,2
1615,ASD,GPLD1,3
1617,ASD,GPR12,3
1620,ASD,GPR137B,3
1621,ASD,GPR137C,2
1623,ASD,GPR158,3
1629,ASD,GPR61,3
1632,ASD,GPR85,3
1643,ASD,GRAMD1B,2
1648,ASD,GRID1,2
1652,ASD,GRIN2A,3
1659,ASD,GS1-72M22.1,2
1660,ASD,GSDMD,2
1662,ASD,GSK3B,2
1664,ASD,GSTA4,2
1667,ASD,GTF2A1L,2
1670,ASD,GTF3C6,3
1681,ASD,HACL1,2
1689,ASD,HAP1,2
1691,ASD,HAPLN4,2
1692,ASD,HAR1A,2
1703,ASD,HCLS1,2
1704,ASD,HCN1,2
1706,ASD,HCN4,2
1708,ASD,HDAC1,2
1715,ASD,HEATR5B,2
1716,ASD,HEBP2,2
1717,ASD,HECW1,2
1718,ASD,HECW2,2
1719,ASD,HELZ2,2
1721,ASD,HENMT1,3
1723,ASD,HERC2,2
1724,ASD,HERC3,2
1725,ASD,HERC5,2
1727,ASD,HGF,3
1733,ASD,HIC1,2
1734,ASD,HID1,2
1735,ASD,HIF1A,2
1738,ASD,HINT1,2
1741,ASD,HIST1H1C,2
1745,ASD,HIST1H2AG,3
1749,ASD,HIST1H2BD,2
1751,ASD,HIST1H2BJ,2
1755,ASD,HIST1H3J,2
1765,ASD,HIST2H2BE,2
1766,ASD,HIST2H2BF,3
1770,ASD,HIVEP2,2
1775,ASD,HLA-B,2
1780,ASD,HLTF,2
1783,ASD,HMCN1,2
1784,ASD,HMG20A,2
1785,ASD,HMG20B,2
1791,ASD,HMGN1,2
1795,ASD,HMOX1,3
1806,ASD,HR,3
1808,ASD,HS3ST5,2
1816,ASD,HSF1,2
1827,ASD,HSPA6,2
1829,ASD,HSPB1,3
1832,ASD,HSPB8,2
1834,ASD,HSPD1,2
1840,ASD,HYLS1,2
1842,ASD,ICA1,3
1847,ASD,IDH1,2
1848,ASD,IDH3A,3
1852,ASD,IFI16,3
1855,ASD,IFI6,2
1856,ASD,IFIH1,2
1859,ASD,IFITM2,2
1864,ASD,IFRD1,2
1867,ASD,IFT52,2
1869,ASD,IGDCC4,2
1871,ASD,IGFBP5,3
1874,ASD,IGSF21,2
1875,ASD,IGSF8,2
1876,ASD,IKBIP,3
1880,ASD,IL17RB,2
1882,ASD,IL17REL,2
1891,ASD,IL33,3
1892,ASD,IL4I1,2
1896,ASD,IL6ST,3
1898,ASD,IMPAD1,3
1899,ASD,INA,2
1906,ASD,INPP5F,3
1907,ASD,INPP5J,3
1914,ASD,INTU,3
1915,ASD,IPCEF1,3
1917,ASD,IPO13,2
1920,ASD,IQCB1,2
1923,ASD,IQSEC1,2
1924,ASD,IQSEC3,2
1925,ASD,IRAK2,2
1929,ASD,IRF7,2
1930,ASD,IRF9,2
1931,ASD,IRGQ,3
1932,ASD,ISCA1,2
1933,ASD,ISG15,2
1935,ASD,ITFG1,3
1938,ASD,ITGAV,3
1940,ASD,ITGB3,2
1943,ASD,ITIH5,2
1944,ASD,ITM2A,3
1945,ASD,ITPK1,2
1949,ASD,ITPRIP,2
1950,ASD,ITPRIPL2,2
1956,ASD,JUN,2
1963,ASD,KATNB1,2
1967,ASD,KBTBD3,2
1968,ASD,KBTBD4,2
1971,ASD,KCNA1,3
1972,ASD,KCNA2,3
1973,ASD,KCNAB1,3
1975,ASD,KCNAB3,2
1976,ASD,KCNB1,2
1979,ASD,KCNC3,2
1980,ASD,KCNE4,3
1983,ASD,KCNH8,3
1986,ASD,KCNJ11,3
1990,ASD,KCNK13,2
1993,ASD,KCNN3,2
1997,ASD,KCNS1,2
1999,ASD,KCNS3,3
2005,ASD,KCTD6,2
2007,ASD,KDM1B,3
2008,ASD,KDM2B,2
2009,ASD,KDM3A,2
2015,ASD,KIAA0226L,3
2018,ASD,KIAA0368,2
2023,ASD,KIAA1279,2
2026,ASD,KIAA1456,2
2028,ASD,KIAA1467,3
2031,ASD,KIAA1841,2
2041,ASD,KIF7,2
2043,ASD,KIFAP3,3
2044,ASD,KIFC1,2
2051,ASD,KLF13,2
2053,ASD,KLF5,2
2055,ASD,KLF9,2
2056,ASD,KLHDC2,3
2057,ASD,KLHDC3,3
2062,ASD,KLHL21,2
2064,ASD,KLHL3,2
2066,ASD,KLHL6,2
2072,ASD,KRBA1,2
2074,ASD,KRT222,2
2083,ASD,LACTB,3
2090,ASD,LANCL1,3
2091,ASD,LAP3,2
2092,ASD,LAPTM4A,2
2096,ASD,LARP6,3
2101,ASD,LCA5,2
2102,ASD,LCMT1,2
2104,ASD,LCP1,2
2110,ASD,LEPREL1,3
2113,ASD,LGALS3,3
2117,ASD,LGI3,3
2119,ASD,LGR4,2
2121,ASD,LHFPL1,3
2125,ASD,LHX2,2
2132,ASD,LIMD1,3
2134,ASD,LIMK2,2
2135,ASD,LIMS1,2
2137,ASD,LIN54,2
2150,ASD,LINC00683,2
2161,ASD,LINC00998,2
2174,ASD,LMAN1,2
2177,ASD,LMBRD1,2
2183,ASD,LNP1,3
2187,ASD,LONRF3,3
2189,ASD,LPCAT4,3
2191,ASD,LPHN1,2
2192,ASD,LPIN1,3
2194,ASD,LPP,3
2197,ASD,LRCH2,2
2201,ASD,LRIF1,2
2202,ASD,LRP10,2
2204,ASD,LRP8,3
2207,ASD,LRRC16A,2
2214,ASD,LRRC47,2
2218,ASD,LRRC8B,2
2223,ASD,LRRTM3,2
2224,ASD,LRTM2,2
2230,ASD,LSP1,2
2231,ASD,LSR,2
2233,ASD,LTBP1,2
2234,ASD,LTBR,3
2235,ASD,LTN1,3
2240,ASD,LYN,2
2241,ASD,LYNX1,3
2243,ASD,LYPLAL1,2
2244,ASD,LYRM4,2
2248,ASD,LZTS1,2
2253,ASD,MAFF,2
2258,ASD,MAGEE1,2
2264,ASD,MAML2,3
2268,ASD,MANSC1,2
2269,ASD,MAOA,2
2270,ASD,MAOB,2
2278,ASD,MAP2K3,3
2280,ASD,MAP2K7,2
2288,ASD,MAP3K9,2
2291,ASD,MAP6D1,2
2294,ASD,MAP7D3,3
2295,ASD,MAP9,2
2302,ASD,MAPK9,3
2303,ASD,MAPKAPK2,3
2304,ASD,MAPKAPK3,3
2309,ASD,MARCH3,3
2316,ASD,MAT2B,2
2321,ASD,MBTPS2,3
2325,ASD,MCAT,2
2326,ASD,MCC,2
2327,ASD,MCF2,2
2329,ASD,MCL1,3
2333,ASD,MCOLN1,2
2335,ASD,MCRS1,3
2336,ASD,MDFI,2
2337,ASD,MDFIC,3
2338,ASD,MDGA2,2
2339,ASD,MDH1,2
2341,ASD,MDK,3
2343,ASD,ME1,2
2351,ASD,MERTK,2
2352,ASD,MESDC2,2
2353,ASD,METAP1,2
2362,ASD,MEX3A,2
